R1/R2
Excited states (eigenvectors of M)

========================================
STATE 1  E = -1.860537937921
========================================
Excitations | Coefficients
4^, 0	| -0.5307595415601261
6^, 0	| -5.1668131978616263e-14
5^, 1	| -0.5401395681797728
7^, 1	| -4.789671425534233e-14
4^, 2	| -1.2228732725101806e-14
6^, 2	| -0.42906810421728175
5^, 3	| 2.2359815628824012e-14
7^, 3	| -0.43827478070596165
4^, 05^, 1	| -0.0012677518233779645
4^, 07^, 1	| 1.3722967098678306e-14
6^, 05^, 1	| 9.713363882649767e-15
6^, 07^, 1	| 0.0004364947455542904
4^, 06^, 2	| -0.009013183591253636
4^, 05^, 3	| -5.269097314690604e-14
4^, 07^, 3	| -0.15841407516442765
6^, 05^, 3	| 0.006062807901856158
6^, 07^, 3	| 1.7811853419558367e-14
5^, 14^, 2	| -5.75374755390071e-14
5^, 16^, 2	| 0.15827420549241916
7^, 14^, 2	| -0.005068826324944391
7^, 16^, 2	| 2.0512633257937676e-14
5^, 17^, 3	| 0.008156948286578748
4^, 25^, 3	| 0.0011457221598319932
4^, 27^, 3	| -3.1780081132359484e-14
6^, 25^, 3	| -3.3772190693194854e-14
6^, 27^, 3	| -0.0005067643848981737

========================================
STATE 2  E = -1.790208331675
========================================
Excitations | Coefficients
4^, 0	| 0.2977484764752207
6^, 0	| 6.866812471389061e-13
5^, 1	| -0.29361131672246876
7^, 1	| 6.862373304793339e-13
4^, 2	| 3.388385272416497e-14
6^, 2	| -0.24533488935225783
5^, 3	| 3.834694324407799e-14
7^, 3	| 0.23797602407821303
4^, 05^, 1	| 0.3967909690462465
4^, 07^, 1	| -3.9785125392226017e-13
6^, 05^, 1	| -4.0508593882405057e-13
6^, 07^, 1	| -0.14961016595333657
4^, 06^, 2	| 0.18802963941928208
4^, 05^, 3	| 7.19598096427687e-13
4^, 07^, 3	| -0.03482854887793363
6^, 05^, 3	| -0.15363995848691833
6^, 07^, 3	| -3.7614463443763495e-13
5^, 14^, 2	| 7.01518980802061e-13
5^, 16^, 2	| -0.03387885391308679
7^, 14^, 2	| -0.15370202067936903
7^, 16^, 2	| -3.683052582640454e-13
5^, 17^, 3	| 0.18802825853700555
4^, 25^, 3	| -0.5633499222208622
4^, 27^, 3	| 5.916860091151246e-13
6^, 25^, 3	| 5.94912316397608e-13
6^, 27^, 3	| 0.30137503192423637

========================================
STATE 3  E = -1.787010777920
========================================
Excitations | Coefficients
4^, 0	| -5.951246654185981e-13
6^, 0	| 0.38479863812330345
5^, 1	| 4.3363090072016155e-13
7^, 1	| 0.37921635540415105
4^, 2	| 0.02524656495812886
6^, 2	| 4.0492968302582545e-13
5^, 3	| 0.024363204863790105
7^, 3	| -4.595681847473949e-13
4^, 05^, 1	| -6.952808723918997e-13
4^, 07^, 1	| -0.22332110733989097
6^, 05^, 1	| -0.22320870739388052
6^, 07^, 1	| 2.5797272769170137e-13
4^, 06^, 2	| -2.747400026684637e-13
4^, 05^, 3	| 0.39054722764836547
4^, 07^, 3	| 1.1850385773709742e-13
6^, 05^, 3	| 3.4107999308133837e-13
6^, 07^, 3	| -0.2078019746928499
5^, 14^, 2	| 0.3906183926479723
5^, 16^, 2	| 1.4697416624558585e-13
7^, 14^, 2	| 3.3573178285151814e-13
7^, 16^, 2	| -0.20787687289235102
5^, 17^, 3	| -2.527564073689444e-13
4^, 25^, 3	| 1.0332580448993199e-12
4^, 27^, 3	| 0.32842661200270323
6^, 25^, 3	| 0.3283766205426739
6^, 27^, 3	| -5.37981509727604e-13

========================================
STATE 4  E = -1.751421101831
========================================
Excitations | Coefficients
4^, 0	| -2.1093333228756883e-06
6^, 0	| -5.902947218058011e-14
5^, 1	| 3.447927523978627e-07
7^, 1	| -4.8303312979251705e-14
4^, 2	| 3.3776525883685795e-14
6^, 2	| 1.000150573067766e-06
5^, 3	| 3.2826931009134603e-16
7^, 3	| -8.772311410455384e-07
4^, 05^, 1	| -1.4272254853237867e-06
4^, 07^, 1	| 6.300089401174364e-14
6^, 05^, 1	| 6.711133558678811e-14
6^, 07^, 1	| 2.2780037581246897e-07
4^, 06^, 2	| 0.40824762548676086
4^, 05^, 3	| -5.261150210795767e-14
4^, 07^, 3	| 0.4082482322656903
6^, 05^, 3	| 0.4082490660013276
6^, 07^, 3	| 5.001763715952543e-14
5^, 14^, 2	| -4.576864695283557e-14
5^, 16^, 2	| 0.40824804191607783
7^, 14^, 2	| 0.408248921703598
7^, 16^, 2	| 4.385710381555576e-14
5^, 17^, 3	| 0.40824785539238073
4^, 25^, 3	| 1.6976879706856008e-06
4^, 27^, 3	| -6.26932409517406e-14
6^, 25^, 3	| -7.173863199229699e-14
6^, 27^, 3	| -1.0746428471357135e-06

========================================
STATE 5  E = -1.551313190105
========================================
Excitations | Coefficients
4^, 0	| -3.1148574016667536e-14
6^, 0	| 0.011127491657319067
5^, 1	| -7.051283526139956e-15
7^, 1	| -0.012319616141289543
4^, 2	| 0.6781084978825694
