UCCSD parameters (ground state)
Operator | Parameter
4^, 0	| -0.0020842554782674132
6^, 0	| -6.948560577201136e-17
5^, 1	| -0.0020956755290284634
7^, 1	| -1.9294763869979824e-16
4^, 2	| 1.2936036953289244e-16
6^, 2	| 0.007468750918554814
5^, 3	| 4.935274744932708e-17
7^, 3	| 0.007458588080898581
4^, 0; 5^, 1	| 0.1954206235619164
4^, 0; 7^, 1	| -1.325073127543391e-16
5^, 0; 6^, 1	| -3.856762896123302e-17
6^, 0; 7^, 1	| 0.34380180936321875
4^, 0; 6^, 2	| 0.11763526832382364
4^, 0; 5^, 3	| 2.968996111273488e-17
4^, 0; 7^, 3	| 0.36166968359422863
5^, 0; 6^, 3	| -0.24284701272191514
6^, 0; 7^, 3	| 2.9250670568565285e-16
4^, 1; 5^, 2	| -1.220769600113741e-16
4^, 1; 7^, 2	| -0.24284690933581923
5^, 1; 6^, 2	| 0.3616665957942826
6^, 1; 7^, 2	| -1.3103754254277202e-16
5^, 1; 7^, 3	| 0.11763374699568055
4^, 2; 5^, 3	| 0.7272574485022307
4^, 2; 7^, 3	| -9.713044470336662e-17
5^, 2; 6^, 3	| 7.751515234877745e-17
6^, 2; 7^, 3	| 0.16683978524800505
